dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,11.992580,2.048046,11.505640,16.446499,53.392146,-109.627765,5.800224
0.010000,12.142551,1.968605,11.675352,16.971198,52.469880,-92.226584,5.792300
0.010000,12.296536,1.885691,11.850241,17.488867,51.766877,-70.300355,5.786590
0.010000,12.454644,1.799615,12.030260,18.001982,51.311559,-45.531791,5.783080
0.010000,12.617029,1.710704,12.215393,18.513260,51.127740,-18.381869,5.781771
0.010000,12.783890,1.619300,12.405649,19.025614,51.235456,10.771616,5.782679
0.010000,12.955471,1.525762,12.601070,19.542103,51.648826,41.336962,5.785835
0.010000,13.132063,1.430477,12.801729,20.065875,52.377243,72.841716,5.791284
0.010000,13.314001,1.333858,13.007730,20.600123,53.424820,104.757701,5.799090
0.010000,13.501665,1.236359,13.219211,21.148072,54.794853,137.003257,5.809331
0.010000,13.695478,1.138479,13.436338,21.712662,56.459071,166.421832,5.822100
0.010000,13.895902,1.040779,13.659306,22.296833,58.417007,195.793622,5.837505
0.010000,14.103426,0.943892,13.888334,22.902771,60.593825,217.681781,5.855665
0.010000,14.318564,0.848540,14.123655,23.532140,62.936903,234.307767,5.876708
0.010000,14.541827,0.755550,14.365509,24.185409,65.326961,239.005824,5.900763
0.010000,14.773704,0.665872,14.614124,24.861469,67.605956,227.899490,5.927955
0.010000,15.014628,0.580590,14.869696,25.557195,69.572559,196.660257,5.958390
0.010000,15.264922,0.500933,15.132360,26.266396,70.920133,134.757478,5.992149
0.010000,15.524752,0.428273,15.402158,26.979869,71.347291,42.715718,6.029261
0.010000,15.794056,0.364109,15.679001,27.684261,70.439262,-90.802877,6.069692
0.010000,16.072476,0.310028,15.962624,28.362348,67.808610,-263.065227,6.113320
0.010000,16.359294,0.267641,16.252558,28.993322,63.097492,-471.111720,6.159919
0.010000,16.653393,0.238495,16.548098,29.554003,56.068059,-702.943351,6.209150
0.010000,16.953250,0.223960,16.848307,30.020896,46.689302,-937.875653,6.260551
0.010000,17.256978,0.225115,17.152036,30.372954,35.205769,-1148.353280,0.030373
0.010000,17.562417,0.242645,17.457979,30.594235,22.128085,-1307.768484,0.084343
0.010000,17.867284,0.276771,17.764750,30.677114,8.287967,-1384.011772,0.138592
0.010000,18.169321,0.327238,18.070973,30.622366,-5.474863,-1376.283007,0.192443
0.010000,18.466460,0.393351,18.375379,30.440524,-18.184177,-1270.931384,0.245268
0.010000,18.756941,0.474056,18.676863,30.148436,-29.208835,-1102.465816,0.296527
0.010000,19.039391,0.568059,18.974544,29.768129,-38.030653,-882.181739,0.345788
0.010000,19.312847,0.673935,19.267781,29.323682,-44.444677,-641.402423,0.392740
0.010000,19.576732,0.790236,19.556158,28.837696,-48.598584,-415.390705,0.437185
0.010000,19.830798,0.915562,19.839453,28.329490,-50.820676,-222.209228,0.479023
0.010000,20.075075,1.048627,20.117622,27.816871,-51.261832,-44.115590,0.518242
0.010000,20.309792,1.188280,20.390743,27.312095,-50.477644,78.418794,0.554889
0.010000,20.535312,1.333508,20.658979,26.823612,-48.848332,162.931171,0.589060
0.010000,20.731581,1.468521,20.897201,23.822246,-300.136536,-25128.820358,0.615321
0.010000,20.939209,1.619716,21.154045,25.684412,186.216574,48635.311007,0.643752
0.010000,21.145612,1.779535,21.415091,26.104528,42.011641,-14420.493263,0.674279
0.010000,21.350310,1.948658,21.680616,26.552559,44.803033,279.139145,0.707049
