dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,18.849077,5.075728,18.982556,12.969862,-47.548312,-269.642961,0.742196
0.010000,18.939415,5.161706,19.107269,12.471247,-49.861486,-231.317401,0.779836
0.010000,19.022750,5.247440,19.226831,11.956226,-51.502143,-164.065683,0.820051
0.010000,19.098981,5.332670,19.341179,11.434740,-52.148512,-64.636941,0.862873
0.010000,19.168122,5.417197,19.450381,10.920271,-51.446982,70.153025,0.908266
0.010000,19.230324,5.500918,19.554681,10.429961,-49.030938,241.604343,0.956112
0.010000,19.285871,5.583880,19.654521,9.984048,-44.591320,443.961859,1.006186
0.010000,19.335166,5.666317,19.750573,9.605129,-37.891869,669.945089,1.058154
0.010000,19.378692,5.748684,19.843733,9.316027,-28.910276,898.159250,1.111569
0.010000,19.416962,5.831651,19.935101,9.136835,-17.919201,1099.107553,1.165879
0.010000,19.450450,5.916079,20.025928,9.082621,-5.421407,1249.779363,1.220460
0.010000,19.479539,6.002950,20.117540,9.161251,7.863006,1328.441275,1.274648
0.010000,19.504476,6.093287,20.211255,9.371493,21.024205,1316.119948,1.327785
0.010000,19.525362,6.188049,20.308292,9.703721,33.222800,1219.859530,1.379261
0.010000,19.542169,6.288060,20.409705,10.141276,43.755483,1053.268302,1.428549
0.010000,19.554772,6.393943,20.516335,10.663033,52.175777,842.029374,1.475229
0.010000,19.563001,6.506103,20.628797,11.246133,58.309979,613.420147,1.518994
0.010000,19.566683,6.624731,20.747482,11.868532,62.239895,392.991608,1.559647
0.010000,19.565682,6.749834,20.872589,12.510703,64.217061,197.716668,1.597090
0.010000,19.559920,6.881275,21.004156,13.156710,64.600715,38.365376,1.631303
0.010000,19.549391,7.018817,21.142101,13.794455,63.774516,-82.619875,1.662328
0.010000,19.534162,7.162165,21.286255,14.415456,62.100080,-167.443611,1.690249
0.010000,19.514364,7.310997,21.436399,15.014368,59.891258,-220.882241,1.715175
0.010000,19.490190,7.464996,21.592283,15.588458,57.409002,-248.225558,1.737231
0.010000,19.461877,7.623863,21.753653,16.136983,54.852473,-255.652943,1.756545
0.010000,19.429700,7.787331,21.920258,16.660494,52.351050,-250.142328,1.773241
0.010000,19.393964,7.955177,22.091866,17.160804,50.031063,-231.998629,1.787437
0.010000,19.354992,8.127221,22.268269,17.640248,47.944399,-208.666417,1.799235
0.010000,19.313127,8.303329,22.449285,18.101661,46.141329,-180.307044,1.808726
